Type,SKU,Name,Published,Regular price,Categories,Short description,Description,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,HUP-CARTON-10-10-10cm,Hộp carton 10x10x10cm nắp đối,1,900,Hộp carton,"Hộp carton kích thước 10x10x10cm, phù hợp đóng gói – vận chuyển.","Hộp carton 10x10x10cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,10x10x10cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-12-12-12cm,Hộp carton 12x12x12cm nắp đối,1,1200,Hộp carton,"Hộp carton kích thước 12x12x12cm, phù hợp đóng gói – vận chuyển.","Hộp carton 12x12x12cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,12x12x12cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-15-15-15cm,Hộp carton 15x15x15cm nắp đối,1,1500,Hộp carton,"Hộp carton kích thước 15x15x15cm, phù hợp đóng gói – vận chuyển.","Hộp carton 15x15x15cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,15x15x15cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-18-12-12cm,Hộp carton 18x12x12cm nắp đối,1,1770,Hộp carton,"Hộp carton kích thước 18x12x12cm, phù hợp đóng gói – vận chuyển.","Hộp carton 18x12x12cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,18x12x12cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-20-15-10cm,Hộp carton 20x15x10cm nắp đối,1,2100,Hộp carton,"Hộp carton kích thước 20x15x10cm, phù hợp đóng gói – vận chuyển.","Hộp carton 20x15x10cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,20x15x10cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-25-20-15cm,Hộp carton 25x20x15cm nắp đối,1,3500,Hộp carton,"Hộp carton kích thước 25x20x15cm, phù hợp đóng gói – vận chuyển.","Hộp carton 25x20x15cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,25x20x15cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-30-20-20cm,Hộp carton 30x20x20cm nắp đối,1,5200,Hộp carton,"Hộp carton kích thước 30x20x20cm, phù hợp đóng gói – vận chuyển.","Hộp carton 30x20x20cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,30x20x20cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-31-31-31cm,Hộp carton 31x31x31cm nắp đối,1,8350,Hộp carton,"Hộp carton kích thước 31x31x31cm, phù hợp đóng gói – vận chuyển.","Hộp carton 31x31x31cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,31x31x31cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-35-25-20cm,Hộp carton 35x25x20cm nắp đối,1,6100,Hộp carton,"Hộp carton kích thước 35x25x20cm, phù hợp đóng gói – vận chuyển.","Hộp carton 35x25x20cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,35x25x20cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
simple,HUP-CARTON-40-25-25cm,Hộp carton 40x25x25cm nắp đối,1,8200,Hộp carton,"Hộp carton kích thước 40x25x25cm, phù hợp đóng gói – vận chuyển.","Hộp carton 40x25x25cm, chất liệu carton cứng, dùng cho thương mại điện tử, kho vận, đóng hàng.",,Kích thước,40x25x25cm,1,1,Loại sóng,3 lớp | 5 lớp,1.0,1.0
